timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
1437478888,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437488986,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437499086,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437509230,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437519361,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437529466,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437539560,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437549669,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437559772,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437569890,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437579994,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437590092,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437600235,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437610369,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437620461,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437630555,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437640653,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437650756,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437660863,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437681051,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437691161,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437701317,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437711480,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437721581,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437731686,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437741789,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437751892,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437761993,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437772097,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437782211,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
1437792399,-0.0,0.0,0.955593,0.0,0.88801,-0.0,0.0,0.459824,0.08,-1.0,1,0,0,0,0,0,0
