timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
1437080051,0.00144379,-0.00444691,0.00479555,0.887963,0.00916987,0.00310918,0.459814
1437080051,0.00144379,-0.00444691,0.00479555,0.887963,0.00916987,0.00310918,0.459814
1437080051,0.00144379,-0.00444691,0.00479555,0.887963,0.00916987,0.00310918,0.459814
1437081233,0.000186118,-0.000596471,0.0037158,0.887963,0.00916834,0.00310841,0.459814
1437083154,0.000438946,0.00601843,-0.00115558,0.887962,0.00916277,0.00311282,0.459815
1437087070,0.00584921,-0.00532679,0.00456404,0.88796,0.00916122,0.00310701,0.459818
1437090156,0.000287664,-6.07973e-06,0.00276365,0.88796,0.00916407,0.00310455,0.459818
1437094013,0.00589497,-0.00503151,0.00547876,0.887959,0.0091618,0.00310306,0.459821
1437097223,-0.00256142,-0.000346179,-0.00112188,0.887958,0.0091609,0.0030976,0.459823
1437100116,0.00350417,-0.000469979,0.00433959,0.887958,0.00915746,0.00309933,0.459823
1437104125,0.00110918,-0.00127341,0.00464236,0.887958,0.00916104,0.00309741,0.459822
1437108111,0.00502353,0.00238313,0.00454153,0.887959,0.00916089,0.00309392,0.459821
1437111105,-0.00233516,0.00583933,0.00265155,0.887959,0.00915546,0.0030985,0.459821
1437115241,0.00609358,0.000652927,0.00396115,0.887961,0.00915056,0.00309457,0.459818
1437118227,0.00229471,0.0040641,0.00534967,0.887961,0.00915208,0.00310258,0.459818
1437121100,0.000722747,0.00366504,0.00342881,0.887961,0.00914456,0.00310912,0.459818
1437125097,0.00318527,0.000652816,0.00483579,0.887959,0.00914675,0.00311015,0.459821
1437129057,0.00215127,0.00287153,0.00681025,0.887958,0.00913733,0.00311891,0.459823
1437132082,0.00589048,0.0025821,0.00329113,0.887958,0.00913892,0.00312281,0.459823
1437136135,0.00505297,0.00188914,0.00464876,0.887958,0.0091376,0.00312997,0.459823
1437139104,-5.44237e-05,0.00522712,0.00212509,0.887959,0.00913459,0.00313349,0.459822
1437143129,0.00246828,-0.00305388,0.00465237,0.887959,0.0091293,0.00313583,0.459821
1437146126,0.0047452,0.00650868,0.00396367,0.887959,0.00913204,0.00313651,0.459821
1437149126,-0.000351097,-0.00864751,0.00479978,0.887959,0.00912946,0.00313647,0.459821
1437153272,0.00274874,0.00724527,0.00588812,0.887961,0.00913049,0.00313454,0.459818
1437157118,-0.000825968,0.000667883,0.00440361,0.887961,0.00912258,0.00313451,0.459818
1437160043,0.00212929,0.00193903,0.00398507,0.887961,0.00911886,0.00314038,0.459818
1437164156,0.00201904,0.00122686,0.00805201,0.887961,0.00911407,0.00313973,0.459819
1437167049,0.000195066,-0.00410981,-0.00239242,0.887961,0.00911612,0.00313792,0.459817
1437171156,0.00149956,0.00063817,0.0100066,0.887961,0.00910652,0.00313506,0.459817
1437174181,0.00312101,-0.00488414,0.00121539,0.887962,0.00911133,0.00312947,0.459816
1437177221,-0.000359228,0.00350372,0.000348509,0.887963,0.00910625,0.00313122,0.459815
