timestamp,roll,pitch,yaw,thrust
1437465155,0.0,0.0,1.02228e-08,0.08
1437468231,0.0,0.0,1.02228e-08,0.08
1437471186,0.0,0.0,1.02228e-08,0.08
1437475264,0.0,0.0,1.02228e-08,0.08
1437479103,0.0,0.0,1.02228e-08,0.08
1437482117,0.0,0.0,1.02228e-08,0.08
1437486140,0.0,0.0,1.02228e-08,0.08
1437487318,0.0,0.0,1.02228e-08,0.08
1437493079,0.0,0.0,1.02228e-08,0.08
1437496169,0.0,0.0,1.02228e-08,0.08
1437500166,0.0,0.0,1.02228e-08,0.08
1437501143,0.0,0.0,1.02228e-08,0.08
1437507233,0.0,0.0,1.02228e-08,0.08
1437510186,0.0,0.0,1.02228e-08,0.08
1437514244,0.0,0.0,1.02228e-08,0.08
1437517202,0.0,0.0,1.02228e-08,0.08
1437521151,0.0,0.0,1.02228e-08,0.08
1437524342,0.0,0.0,1.02228e-08,0.08
1437528153,0.0,0.0,1.02228e-08,0.08
1437531254,0.0,0.0,1.02228e-08,0.08
1437535235,0.0,0.0,1.02228e-08,0.08
1437538129,0.0,0.0,1.02228e-08,0.08
1437542178,0.0,0.0,1.02228e-08,0.08
1437545214,0.0,0.0,1.02228e-08,0.08
1437549265,0.0,0.0,1.02228e-08,0.08
1437552116,0.0,0.0,1.02228e-08,0.08
1437556186,0.0,0.0,1.02228e-08,0.08
1437559192,0.0,0.0,1.02228e-08,0.08
1437563246,0.0,0.0,1.02228e-08,0.08
1437566102,0.0,0.0,1.02228e-08,0.08
1437570194,0.0,0.0,1.02228e-08,0.08
1437573172,0.0,0.0,1.02228e-08,0.08
1437577199,0.0,0.0,1.02228e-08,0.08
1437580270,0.0,0.0,1.02228e-08,0.08
1437584236,0.0,0.0,1.02228e-08,0.08
1437587078,0.0,0.0,1.02228e-08,0.08
1437589221,0.0,0.0,1.02228e-08,0.08
1437594275,0.0,0.0,1.02228e-08,0.08
1437598231,0.0,0.0,1.02228e-08,0.08
1437601107,0.0,0.0,1.02228e-08,0.08
1437605443,0.0,0.0,1.02228e-08,0.08
1437608095,0.0,0.0,1.02228e-08,0.08
1437612156,0.0,0.0,1.02228e-08,0.08
1437615277,0.0,0.0,1.02228e-08,0.08
1437619258,0.0,0.0,1.02228e-08,0.08
1437622294,0.0,0.0,1.02228e-08,0.08
1437626212,0.0,0.0,1.02228e-08,0.08
1437629208,0.0,0.0,1.02228e-08,0.08
1437633132,0.0,0.0,1.02228e-08,0.08
1437636185,0.0,0.0,1.02228e-08,0.08
1437640246,0.0,0.0,1.02228e-08,0.08
1437643100,0.0,0.0,1.02228e-08,0.08
1437647152,0.0,0.0,1.02228e-08,0.08
1437650276,0.0,0.0,1.02228e-08,0.08
1437654209,0.0,0.0,1.02228e-08,0.08
1437657257,0.0,0.0,1.02228e-08,0.08
1437661222,0.0,0.0,1.02228e-08,0.08
1437664144,0.0,0.0,1.02228e-08,0.08
1437668134,0.0,0.0,1.02228e-08,0.08
1437669237,0.0,0.0,1.02228e-08,0.08
1437678129,0.0,0.0,1.02228e-08,0.08
1437687136,0.0,0.0,1.02228e-08,0.08
1437691219,0.0,0.0,1.02228e-08,0.08
1437696241,0.0,0.0,1.02228e-08,0.08
1437699135,0.0,0.0,1.02228e-08,0.08
1437703167,0.0,0.0,1.02228e-08,0.08
1437706145,0.0,0.0,1.02228e-08,0.08
1437710180,0.0,0.0,1.02228e-08,0.08
1437713223,0.0,0.0,1.02228e-08,0.08
1437717083,0.0,0.0,1.02228e-08,0.08
1437720156,0.0,0.0,1.02228e-08,0.08
1437724134,0.0,0.0,1.02228e-08,0.08
1437727214,0.0,0.0,1.02228e-08,0.08
1437731212,0.0,0.0,1.02228e-08,0.08
1437734150,0.0,0.0,1.02228e-08,0.08
1437738155,0.0,0.0,1.02228e-08,0.08
1437741162,0.0,0.0,1.02228e-08,0.08
1437745159,0.0,0.0,1.02228e-08,0.08
1437748058,0.0,0.0,1.02228e-08,0.08
1437752123,0.0,0.0,1.02228e-08,0.08
1437755096,0.0,0.0,1.02228e-08,0.08
1437759234,0.0,0.0,1.02228e-08,0.08
1437762236,0.0,0.0,1.02228e-08,0.08
1437766193,0.0,0.0,1.02228e-08,0.08
1437769186,0.0,0.0,1.02228e-08,0.08
1437773224,0.0,0.0,1.02228e-08,0.08
1437776186,0.0,0.0,1.02228e-08,0.08
1437780160,0.0,0.0,1.02228e-08,0.08
1437783220,0.0,0.0,1.02228e-08,0.08
1437787060,0.0,0.0,1.02228e-08,0.08
1437790142,0.0,0.0,1.02228e-08,0.08
1437794107,0.0,0.0,1.02228e-08,0.08
1437797219,0.0,0.0,1.02228e-08,0.08
1437801243,0.0,0.0,1.02228e-08,0.08
