timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,roll_rate_bias,pitch_rate_bias,yaw_rate_bias,airspeed_valid,quat_reset_counter
1437437278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887977,0.00887066,0.0031037,0.459792,0.0,0.0,0.0,0.0,0.00262072,0.000965073,-0.000951936,0.0,0.0,0.0,0.0,0,0
1437458093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887976,0.00885306,0.00310376,0.459794,0.0,0.0,0.0,0.0,0.00254856,-0.00292647,0.00988191,0.0,0.0,0.0,0.0,0,0
1437479049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887979,0.00884147,0.00311052,0.459789,0.0,0.0,0.0,0.0,0.00645926,0.00139178,0.00806088,0.0,0.0,0.0,0.0,0,0
1437500111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887982,0.0088146,0.00310706,0.459783,0.0,0.0,0.0,0.0,0.00451098,0.000483147,0.00437891,0.0,0.0,0.0,0.0,0,0
1437521100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887985,0.00879275,0.00311338,0.459778,0.0,0.0,0.0,0.0,0.00332745,-0.00410472,0.00093819,0.0,0.0,0.0,0.0,0,0
1437542129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887979,0.00878,0.00310819,0.45979,0.0,0.0,0.0,0.0,-0.000406171,-0.00143707,0.00869224,0.0,0.0,0.0,0.0,0,0
1437563177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887976,0.00877714,0.00310348,0.459796,0.0,0.0,0.0,0.0,-0.000184519,0.00170297,0.000170946,0.0,0.0,0.0,0.0,0,0
1437584181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887976,0.00875632,0.00310047,0.459797,0.0,0.0,0.0,0.0,-0.00242482,-0.00362538,0.00457719,0.0,0.0,0.0,0.0,0,0
1437604139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887977,0.00873842,0.00309457,0.459795,0.0,0.0,0.0,0.0,0.00146492,0.00187084,0.00154592,0.0,0.0,0.0,0.0,0,0
1437626157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887977,0.00871815,0.00309771,0.459794,0.0,0.0,0.0,0.0,0.00328491,0.00496963,0.00406341,0.0,0.0,0.0,0.0,0,0
