timestamp,ref_timestamp,ref_lat,ref_lon,surface_bottom_timestamp,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,estimator_type,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
1437078360,0,0.0,0.0,0,-8.47767,-11.648,1.67683,0.0,0.0,0.0,0.0043327,-0.0011275,0.0198398,0.0,0.0,0.0,0.0,0.0,0.0,0.955592,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1437083750,0,0.0,0.0,0,-8.47765,-11.648,1.67693,0.0,0.0,0.0,0.00439491,-0.00121755,0.0202235,0.0,0.0,0.0,0.0,0.0,0.0,0.955594,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1437088691,0,0.0,0.0,0,-8.47762,-11.648,1.67703,0.0,0.0,0.0,0.00440912,-0.00126822,0.0206723,0.0,0.0,0.0,0.0,0.0,0.0,0.955601,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1437093447,0,0.0,0.0,0,-8.4776,-11.648,1.67714,0.0,0.0,0.0,0.00445466,-0.00135252,0.021041,0.0,0.0,0.0,0.0,0.0,0.0,0.955609,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1437098397,0,0.0,0.0,0,-8.478,-11.6479,1.67578,0.0,0.0,0.0,0.00280296,-0.000456227,0.0136637,0.0,0.0,0.0,0.0,0.0,0.0,0.955611,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1437103354,0,0.0,0.0,0,-8.47798,-11.6479,1.67585,0.0,0.0,0.0,0.00290133,-0.000483527,0.0139023,0.0,0.0,0.0,0.0,0.0,0.0,0.955611,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1437108391,0,0.0,0.0,0,-8.47797,-11.6479,1.67592,0.0,0.0,0.0,0.00294906,-0.000553916,0.0143573,0.0,0.0,0.0,0.0,0.0,0.0,0.955608,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1437113383,0,0.0,0.0,0,-8.47795,-11.6479,1.67599,0.0,0.0,0.0,0.00291111,-0.000654896,0.0148994,0.0,0.0,0.0,0.0,0.0,0.0,0.955601,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1437118400,0,0.0,0.0,0,-8.47794,-11.6479,1.67607,0.0,0.0,0.0,0.00295556,-0.000702638,0.0153622,0.0,0.0,0.0,0.0,0.0,0.0,0.955601,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
1437123601,0,0.0,0.0,0,-8.47792,-11.6479,1.67615,0.0,0.0,0.0,0.0030873,-0.000752287,0.0158725,0.0,0.0,0.0,0.0,0.0,0.0,0.955609,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
