timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
1439494336,4,-0.793375,-0.81949,-1.0,-0.612865,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439547367,4,-0.885485,-0.78413,-0.952274,-0.738112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439599306,4,-0.839029,-0.826992,-0.821119,-0.872859,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439652337,4,-0.811649,-0.851496,-0.834777,-0.862078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439704138,4,-0.708758,-0.952227,-0.959003,-0.740012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439757311,4,-0.768241,-0.890931,-0.963341,-0.737488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439809361,4,-0.859956,-0.795908,-0.906373,-0.797764,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439862241,4,-0.914948,-0.736096,-0.860989,-0.847967,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439914241,4,-0.751001,-0.898894,-0.879584,-0.830521,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439967217,4,-0.711041,-0.937287,-0.935342,-0.77633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440019317,4,-0.838528,-0.841399,-1.0,-0.679928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440072267,4,-0.825412,-0.817232,-0.954685,-0.76267,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440124284,4,-0.884282,-0.755448,-0.757123,-0.963147,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440176213,4,-0.806466,-0.833622,-0.83819,-0.881722,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440229293,4,-0.757686,-0.883365,-0.841777,-0.877172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440282287,4,-0.795606,-0.843073,-0.917981,-0.80334,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440334196,4,-0.851117,-0.784179,-0.900755,-0.82395,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440382199,4,-0.851269,-0.782287,-0.805076,-0.921368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440439242,4,-0.858798,-0.777188,-0.828052,-0.895962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440492220,4,-0.796343,-0.838611,-0.818087,-0.906959,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440544274,4,-0.825363,-0.812039,-0.899429,-0.82317,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440596166,4,-0.919094,-0.718771,-0.950279,-0.771855,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440649234,4,-0.825743,-0.809738,-0.884788,-0.839731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440702260,4,-0.907873,-0.727792,-0.997031,-0.727305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440754334,4,-0.798399,-0.837569,-0.901173,-0.82286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440807252,4,-0.856804,-0.783178,-1.0,-0.720017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440859212,4,-0.979326,-0.670658,-1.0,-0.649983,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440912306,4,-0.826318,-0.814456,-0.82659,-0.892636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1440964242,4,-0.90246,-0.740865,-0.971051,-0.745624,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441017261,4,-0.967699,-0.673636,-0.936403,-0.782262,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441068242,4,-0.891737,-0.751579,-0.961716,-0.754969,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441122207,4,-0.920686,-0.718885,-0.989139,-0.73129,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441174180,4,-0.981408,-0.698225,-1.0,-0.679633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441227171,4,-0.766209,-0.877,-0.853212,-0.863578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441279175,4,-0.853655,-0.794066,-0.972134,-0.740146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441332331,4,-0.920409,-0.726474,-0.87521,-0.837907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441384236,4,-0.691537,-0.961685,-0.738133,-0.968646,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441437307,4,-0.815204,-0.704796,-1.0,-0.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441489345,4,-0.842619,-0.815192,-0.967911,-0.734277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441542221,4,-0.730747,-0.925731,-0.839921,-0.863601,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441594328,4,-0.98893,-0.660255,-0.970755,-0.72271,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441646232,4,-0.991188,-0.608849,-0.960783,-0.674502,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441699325,4,-0.84626,-0.817474,-0.706876,-0.989391,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441751218,4,-0.937443,-0.639086,-1.0,-0.576529,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441804267,4,-0.791706,-0.874255,-0.792341,-0.901698,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441857167,4,-0.880261,-0.742836,-1.0,-0.623098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441909175,4,-0.874118,-0.796741,-0.992164,-0.696977,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1441962153,4,-0.807426,-0.860795,-0.771174,-0.920605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442014238,4,-0.99427,-0.51427,-0.998941,-0.532519,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442067182,4,-0.784998,-0.882498,-0.693972,-0.998533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442119210,4,-0.78402,-0.883893,-0.905172,-0.786914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442172246,4,-0.88993,-0.775948,-0.930207,-0.763915,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442224335,4,-0.685923,-0.985772,-0.740717,-0.947588,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442276215,4,-0.966534,-0.69939,-0.950273,-0.743803,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442329376,4,-0.851587,-0.820536,-0.809092,-0.878785,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1442380229,4,-0.809242,-0.865949,-0.838514,-0.846296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
