timestamp,x,y,z,yaw,vx,vy,vz,acc_x,acc_y,acc_z
1426761853,-8.4797,-11.6455,1.6781,-0.0660841,-2.09808e-05,2.28882e-05,0.118787,-0.0025022,0.00262006,-2.9257
1426761853,-8.4797,-11.6455,1.6781,-0.0660841,-2.09808e-05,2.28882e-05,0.118787,-0.0025022,0.00262006,-2.9257
1443337925,-8.41192,-11.5699,1.6853,-0.0660841,0.0080223,0.0107113,0.066383,-0.0915297,-0.108022,-2.91813
1443348085,-8.41192,-11.5699,1.68522,-0.0660841,-0.000331879,-0.00047493,0.117208,-0.09662,-0.116465,-2.8684
1443358308,-8.49956,-11.6552,1.45049,0.981236,3.66986e-09,7.09676e-09,-7.14e-08,3.10497e-06,5.99932e-06,-6.03595e-05
1443368457,-8.49956,-11.6552,1.45049,0.98124,5.39418e-07,1.03432e-06,-1.04074e-05,0.000129164,0.000246918,-0.00248462
1443378577,-8.49956,-11.6552,1.45049,0.981252,3.16668e-06,6.03069e-06,-6.06874e-05,0.000481462,0.000912471,-0.00918299
1443388707,-8.49956,-11.6552,1.45049,0.981277,1.07103e-05,2.02549e-05,-0.000203851,0.00118656,0.00222885,-0.0224344
1443398845,-8.49956,-11.6552,1.45048,0.98132,2.7054e-05,5.08001e-05,-0.000511333,0.00234895,0.00437218,-0.0440159
1443408981,-8.49956,-11.6552,1.45047,0.981404,6.71986e-05,0.000125041,-0.00125884,0.00457721,0.00842042,-0.0847926
1443419115,-8.49956,-11.6552,1.45046,0.981503,0.000122546,0.000226333,-0.00227896,0.00709423,0.0129248,-0.130182
1443429359,-8.49956,-11.6552,1.45043,0.981644,0.000212019,0.000388428,-0.00391188,0.0105597,0.0190357,-0.191788
1443439584,-8.49955,-11.6552,1.45037,0.981829,0.000343305,0.000623727,-0.00628297,0.0149515,0.026658,-0.268672
1443449726,-8.49955,-11.6551,1.45029,0.982063,0.000526373,0.000948199,-0.00955378,0.0203166,0.035815,-0.361095
1443459866,-8.49954,-11.6551,1.45017,0.982353,0.000773536,0.00138125,-0.0139209,0.0267343,0.0465777,-0.469804
1443470010,-8.49953,-11.6551,1.45003,0.982626,0.0010214,0.00181098,-0.0182561,0.0325581,0.0561852,-0.566917
1443480148,-8.49952,-11.6551,1.4498,0.983032,0.00141326,0.00248288,-0.0250374,0.0409315,0.0697604,-0.704256
1443490305,-8.4995,-11.6551,1.4495,0.983504,0.0018967,0.00330144,-0.0333035,0.0502917,0.0846316,-0.854874
1443500447,-8.49948,-11.655,1.44909,0.984056,0.00249258,0.00429745,-0.0433675,0.0608064,0.100986,-1.02073
1443510575,-8.49946,-11.655,1.44871,0.984511,0.00300538,0.00514481,-0.0519346,0.0691894,0.113776,-1.1506
