timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
990432929,-0.00337519,-0.0114941,-0.000478834,0.996467,-0.0114671,-0.0606676,0.0569422
990435852,-0.000373554,-0.0126307,-0.00207422,0.996467,-0.0114613,-0.0606624,0.0569451
990439827,-0.00138373,-0.0133442,-0.00496311,0.996466,-0.0114648,-0.060667,0.0569472
990442845,-0.00119599,-0.00994638,-0.00228102,0.996467,-0.011469,-0.060662,0.056947
990446845,-0.00192216,-0.00974592,-0.00246624,0.996467,-0.0114689,-0.0606578,0.0569482
990449807,-0.00170265,-0.0115954,-0.00429501,0.996467,-0.0114704,-0.0606554,0.0569492
990453817,-0.000428534,-0.00944266,-0.000717022,0.996467,-0.0114727,-0.060652,0.0569492
990456920,-0.00369189,-0.0105505,-0.00498017,0.996467,-0.0114751,-0.0606458,0.056949
990460821,0.00436109,-0.00705171,-0.00234361,0.996468,-0.0114701,-0.0606409,0.0569507
990463816,-0.00189174,-0.0107492,0.00215511,0.996468,-0.0114693,-0.0606358,0.0569507
990467873,-0.00141076,-0.00901411,-0.00132276,0.996468,-0.0114745,-0.0606326,0.056953
990470882,0.000290192,-0.0115716,-0.00471899,0.996468,-0.0114744,-0.0606279,0.0569555
990474881,0.00269899,-0.00981839,-0.0016482,0.996468,-0.0114725,-0.0606225,0.0569582
990477836,-6.90743e-05,-0.00799055,-0.0018382,0.996469,-0.0114694,-0.0606159,0.0569585
990481849,-0.00202882,-0.010694,-0.00436552,0.996469,-0.0114731,-0.0606181,0.0569581
990484812,-0.00137766,-0.0146093,-0.00372341,0.996469,-0.0114761,-0.0606154,0.0569578
990487901,0.00111325,-0.00936183,-0.000807768,0.996469,-0.011473,-0.0606133,0.0569581
990491879,-0.00125071,-0.0116303,0.000612287,0.996469,-0.0114821,-0.0606131,0.0569599
990495938,-0.00164441,-0.0113619,-0.00103344,0.996469,-0.0114831,-0.0606135,0.0569609
990498862,0.00232923,-0.0131747,-0.00190343,0.996469,-0.0114815,-0.0606127,0.0569611
990502796,-0.00188208,-0.014673,4.6324e-06,0.996469,-0.0114803,-0.0606145,0.0569594
990505825,-0.000952376,-0.0072893,-0.00543914,0.996469,-0.0114776,-0.0606082,0.0569597
990509842,0.00077834,-0.00890424,-0.00132959,0.996467,-0.0114813,-0.0606031,0.0569943
990512925,0.00481692,-0.0118972,0.0019453,0.996468,-0.011475,-0.0605993,0.0569948
990516787,-0.0031262,-0.010008,-0.001256,0.996468,-0.0114755,-0.0605946,0.056996
990519852,0.00117982,-0.0126755,-0.00180241,0.996468,-0.0114751,-0.0605938,0.0569971
990523869,0.00227499,-0.0155518,-0.00248766,0.996468,-0.0114724,-0.060594,0.0569972
990526914,-0.00111427,-0.0123751,-0.00490136,0.996468,-0.0114722,-0.0605983,0.0569971
990530840,-0.00167273,-0.014859,-0.00455333,0.996467,-0.0114756,-0.0606016,0.0569953
990533841,-0.00152618,-0.00939224,0.00201641,0.996468,-0.0114792,-0.0605986,0.0569951
990537738,-0.00127689,-0.013297,-0.00668755,0.996468,-0.011477,-0.0605999,0.0569924
990540827,0.00119001,-0.0102453,-0.00529484,0.996468,-0.0114731,-0.0605964,0.0569912
990544838,-0.00325622,-0.0149236,-0.00164215,0.996468,-0.0114739,-0.0605939,0.056991
990547820,-0.000708316,-0.0157643,0.000549345,0.996468,-0.0114762,-0.0605998,0.0569907
990551817,-0.00350954,-0.0112465,-0.00410954,0.996468,-0.0114806,-0.0605988,0.056989
990554889,-0.00217633,-0.0151361,-0.00158178,0.996468,-0.0114814,-0.060598,0.0569887
990558829,-0.00204133,-0.0119694,-0.0031397,0.996468,-0.0114865,-0.0605951,0.0569885
990561805,-0.000391413,-0.00918321,0.00239383,0.996468,-0.0114885,-0.0605942,0.0569895
990565833,-0.000462625,-0.0117896,-0.000188674,0.996469,-0.011488,-0.060586,0.0569909
990568772,0.000948418,-0.0118094,-0.00438272,0.996469,-0.0114874,-0.0605856,0.056991
990572830,-0.00238011,-0.0125434,-0.00475955,0.996468,-0.0114865,-0.0605878,0.0569895
990575792,0.00304049,-0.0149663,-9.29013e-05,0.996468,-0.0114814,-0.0605892,0.0569883
990579831,-0.00143815,-0.0118609,-0.000264259,0.996469,-0.0114836,-0.0605868,0.0569906
990582885,0.00127382,-0.0118326,-0.0020848,0.996469,-0.0114791,-0.0605852,0.0569909
990586910,0.00268002,-0.0109575,0.00111579,0.996469,-0.0114809,-0.0605834,0.0569934
990589843,-0.00368335,-0.0172891,-0.00551422,0.996469,-0.0114803,-0.0605849,0.0569932
990593911,0.00192846,-0.0121463,-0.00629195,0.996468,-0.0114802,-0.0605864,0.0569931
990597034,-0.00328961,-0.0132479,-0.00269238,0.996468,-0.01148,-0.0605868,0.0569929
990600768,0.00124346,-0.0109992,-0.00773187,0.996468,-0.0114823,-0.0605866,0.0569927
990603786,-0.00309049,-0.0152399,0.00119808,0.996468,-0.0114835,-0.0605922,0.0569925
990607766,-0.00143306,-0.0128566,-0.00189963,0.996468,-0.0114887,-0.06059,0.0569908
990611854,-0.00419763,-0.0142381,-0.00758181,0.996473,-0.0114968,-0.0605883,0.0569178
990614794,-0.00118655,-0.0124192,0.00183071,0.996472,-0.0115,-0.0605886,0.0569173
990617814,-0.00152948,-0.0115963,-0.00529303,0.996472,-0.0115005,-0.0605868,0.0569174
990621876,-0.0027374,-0.0152885,0.00187689,0.996472,-0.0115003,-0.0605872,0.0569171
990624806,-0.00141459,-0.0131608,-0.00238092,0.996472,-0.011504,-0.0605879,0.0569166
990628849,0.00246635,-0.0145596,-0.00293181,0.996472,-0.0115042,-0.0605957,0.0569164
990630856,0.000860667,-0.010621,-0.000892991,0.996472,-0.0115017,-0.060594,0.0569164
990635741,-0.00071147,-0.0142871,-0.00537329,0.996472,-0.0115053,-0.060595,0.0569145
990638810,0.00277089,-0.00847242,8.50148e-05,0.996473,-0.0115009,-0.060589,0.0569149
990642859,-0.00542274,-0.0143631,-0.00213408,0.996473,-0.011502,-0.0605915,0.0569118
990645830,0.00363493,-0.0106517,-0.00497642,0.996473,-0.0114999,-0.0605869,0.0569118
990649853,-0.00170864,-0.0131578,3.65619e-05,0.996473,-0.0114984,-0.0605866,0.0569143
990652805,-0.00239754,-0.0129257,-0.00458696,0.996473,-0.0115016,-0.0605856,0.0569141
990656878,0.00089182,-0.0129438,-0.00110147,0.996473,-0.0114982,-0.0605861,0.0569167
990659800,-0.00303785,-0.0149542,-0.00578864,0.996472,-0.0114997,-0.0605878,0.0569166
990663902,-0.00463192,-0.016,-0.00467391,0.996472,-0.011505,-0.0605894,0.0569146
990666836,0.0006332,-0.00719791,-0.00293278,0.996473,-0.0115061,-0.0605841,0.0569103
990670884,-0.00260221,-0.0159824,-0.0079099,0.996473,-0.0115075,-0.0605839,0.0569085
990673815,0.00067304,-0.0107653,-0.00194022,0.996473,-0.0115085,-0.0605822,0.0569085
990677810,0.00153879,-0.0060744,-0.00173073,0.996474,-0.0115047,-0.0605733,0.0569101
990680882,0.000850494,-0.00945995,-0.000305524,0.996474,-0.0115036,-0.0605675,0.0569126
990684884,0.000376225,-0.00968811,-0.00286674,0.996474,-0.0114973,-0.0605634,0.0569156
990687844,-0.00282557,-0.0101873,-0.00324532,0.996474,-0.0115002,-0.0605581,0.0569155
990691847,-0.000735759,-0.00912655,-0.00372998,0.996474,-0.011504,-0.0605576,0.0569176
990694900,-0.00401636,-0.0132179,-0.00493679,0.996474,-0.0115084,-0.0605566,0.0569211
990698834,-0.00128024,-0.0116562,-0.00362526,0.996474,-0.0115137,-0.0605565,0.0569208
990701833,0.00274127,-0.0123578,-0.0013575,0.996474,-0.0115068,-0.0605518,0.0569251
990706007,-0.00332931,-0.01639,0.00170591,0.996475,-0.0115195,-0.0605602,0.0569013
990708919,-0.0032806,-0.0115685,-0.00366702,0.996475,-0.0115232,-0.0605599,0.0569011
990712848,-0.00219695,-0.0142058,0.000508365,0.996475,-0.0115254,-0.0605654,0.0568993
990716833,0.000327715,-0.0135465,-0.00160957,0.996475,-0.0115254,-0.060562,0.056899
990719930,-0.00414936,-0.00877871,-0.00380057,0.996475,-0.0115294,-0.0605584,0.0568973
990722792,0.00394204,-0.0119074,0.00185604,0.996475,-0.0115285,-0.0605545,0.0568974
990726819,-0.0055393,-0.0130422,-0.00653283,0.996475,-0.0115325,-0.0605549,0.0568955
990729703,-0.00501761,-0.0127064,-0.00195452,0.996475,-0.0115368,-0.0605571,0.0568952
990733809,-0.000913028,-0.0178525,-0.00217823,0.996475,-0.011544,-0.0605585,0.0568944
990736787,0.000676337,-0.0147554,-0.00533794,0.996475,-0.0115431,-0.0605661,0.056894
990740808,-0.00216344,-0.0119619,-0.00123063,0.996475,-0.0115423,-0.0605627,0.0568924
990743805,0.00109863,-0.0113858,0.000911026,0.996475,-0.0115407,-0.0605609,0.0568925
990747841,0.00360809,-0.0145682,-0.00294169,0.996475,-0.0115421,-0.060563,0.0568908
990750814,-0.000675681,-0.0121679,-0.00319369,0.996475,-0.011541,-0.0605625,0.0568894
990754788,-0.000660876,-0.0129511,-0.0026919,0.996475,-0.0115398,-0.0605582,0.0568895
990758818,0.00131215,-0.0106147,-0.000658704,0.996476,-0.0115354,-0.0605545,0.0568883
990761825,-0.000173297,-0.0100839,-0.00686459,0.996476,-0.0115333,-0.0605503,0.0568895
990764824,0.000291696,-0.0156151,-0.00275978,0.996476,-0.0115325,-0.0605489,0.0568896
990768825,-0.0030456,-0.0141072,-0.000771004,0.996476,-0.0115354,-0.0605564,0.0568916
990771832,-0.0018562,-0.00933075,-0.00915996,0.996476,-0.0115372,-0.0605524,0.0568914
990775864,-0.00297199,-0.0126443,-0.00190203,0.996476,-0.0115436,-0.060554,0.056892
990778820,-0.0058981,-0.0144086,-0.00126817,0.996475,-0.0115477,-0.0605554,0.0568917
990782820,-0.00200101,-0.0145432,-0.00477861,0.996475,-0.0115533,-0.0605619,0.056895
990785885,0.00152748,-0.0128588,-0.00118319,0.996475,-0.011554,-0.0605631,0.0568974
990789828,0.00318333,-0.00936906,-0.00434751,0.996475,-0.0115489,-0.0605607,0.0568977
990792866,0.000114673,-0.0140454,0.00156669,0.996475,-0.0115489,-0.0605626,0.0568988
990796798,-0.00141595,-0.0134641,-0.00340044,0.996475,-0.0115516,-0.0605595,0.0568984
990799793,0.00321065,-0.00914328,-0.00444267,0.996475,-0.011546,-0.0605543,0.056899
990803789,0.00035066,-0.0132408,-0.00317551,0.996475,-0.0115431,-0.0605558,0.0568974
990806928,-0.00220839,-0.00930149,-0.00365328,0.996475,-0.0115447,-0.0605501,0.0568985
990810863,0.00201186,-0.00989187,-0.00433297,0.996476,-0.0115419,-0.0605455,0.0568935
990813819,0.000389958,-0.0113167,-5.0189e-05,0.996476,-0.0115414,-0.0605434,0.0568935
990816780,0.00388589,-0.00848288,0.00192102,0.996477,-0.011539,-0.0605376,0.0568922
990820700,-0.00119095,-0.00831598,0.00414396,0.996476,-0.0115416,-0.0605358,0.0568944
990824769,0.00349622,-0.0144519,-0.00303234,0.996477,-0.0115316,-0.0605312,0.0568951
990827817,-0.00078919,-0.0131211,-0.0058684,0.996477,-0.0115324,-0.0605319,0.0568987
990831796,-0.000350234,-0.0125299,0.000494742,0.996477,-0.0115303,-0.0605328,0.0568986
990835742,-0.000205649,-0.013777,0.00122022,0.996477,-0.0115368,-0.0605293,0.0568967
990838855,-0.000186624,-0.0103594,0.000140718,0.996477,-0.0115388,-0.0605241,0.0568966
990841956,-0.000734313,-0.0140201,-0.00577354,0.996477,-0.0115374,-0.0605255,0.0568964
990845857,0.00208369,-0.0101752,0.00190749,0.996477,-0.0115363,-0.0605237,0.0568975
990848766,0.002381,-0.0102061,-0.000911164,0.996477,-0.0115345,-0.0605193,0.0568977
990852824,0.000968067,-0.0128244,-0.00139116,0.996477,-0.0115311,-0.0605214,0.0569015
990855804,0.00122178,-0.014458,-0.00498804,0.996477,-0.0115305,-0.0605228,0.0569065
990859704,-0.00114579,-0.0114345,-0.00119112,0.996477,-0.0115287,-0.0605198,0.0569067
990862771,-0.00121234,-0.013659,-0.0021613,0.996477,-0.0115303,-0.0605223,0.0569089
990866764,-0.00115704,-0.0112782,-0.00165053,0.996477,-0.0115242,-0.0605173,0.0569105
990870843,-0.0047518,-0.0111617,-0.00413033,0.996477,-0.0115267,-0.0605126,0.0569128
990872796,-0.00205973,-0.015639,-0.00515061,0.996477,-0.0115281,-0.0605148,0.0569126
990876817,-0.00263754,-0.0108861,-0.00169153,0.996477,-0.0115297,-0.0605106,0.0569151
990880714,-0.00311164,-0.0122606,0.000517302,0.996477,-0.0115332,-0.06051,0.0569133
990883778,-0.00288763,-0.0148588,-0.00392442,0.996477,-0.0115376,-0.0605118,0.056913
990887744,0.00254782,-0.00651155,0.00296894,0.996477,-0.0115363,-0.0605055,0.056913
990890759,-0.000439742,-0.0124529,0.00245209,0.996477,-0.0115365,-0.0605041,0.0569167
990894731,0.000345841,-0.0128281,-0.000321751,0.996477,-0.011533,-0.0605053,0.0569168
990897778,0.00105193,-0.0115875,-0.00185084,0.996477,-0.0115368,-0.0605039,0.056919
990901760,-0.00425956,-0.0110452,-0.00489763,0.996477,-0.0115329,-0.0605012,0.0569189
990904869,0.000274033,-0.0137178,-0.00155622,0.996477,-0.0115343,-0.0605026,0.0569189
990908854,4.17149e-05,-0.0129635,-0.000848394,0.996477,-0.0115347,-0.0604994,0.0569172
990912798,-0.00372052,-0.0129066,-0.00284251,0.996477,-0.0115406,-0.0605006,0.0569166
990915900,-0.00303063,-0.0120684,-0.00506388,0.996477,-0.0115431,-0.0605,0.0569176
990918816,0.00091124,-0.0137487,0.000680715,0.996477,-0.0115446,-0.0605013,0.0569174
990922853,-0.00388049,-0.00801302,-0.00410143,0.996478,-0.0115433,-0.0604913,0.0569174
990925766,-0.00199664,-0.0119543,0.00114147,0.996478,-0.0115479,-0.0604881,0.056917
990929790,-0.00535596,-0.0117825,-0.0030243,0.996478,-0.0115533,-0.0604851,0.0569168
990932798,0.000938137,-0.0112766,-0.00188313,0.996478,-0.0115526,-0.0604827,0.0569179
990936816,-0.0026278,-0.0122161,-0.00438825,0.996479,-0.0115559,-0.0604784,0.05691
990939783,0.00343017,-0.0114965,-0.00315399,0.996479,-0.0115515,-0.0604761,0.0569103
990943796,-0.00161348,-0.0104301,-0.00194367,0.996479,-0.0115516,-0.060472,0.0569128
990947820,-0.00379396,-0.0138903,-0.00481625,0.996479,-0.0115561,-0.0604746,0.0569148
990950860,-0.000801355,-0.00780617,-0.00522003,0.996479,-0.0115526,-0.0604665,0.0569137
990953847,0.00246673,-0.0141353,0.00182495,0.996479,-0.0115517,-0.0604676,0.0569137
990957900,-0.00133335,-0.0136653,-0.00028188,0.996479,-0.011552,-0.0604683,0.0569133
990960801,-0.000106583,-0.010439,0.000361091,0.996479,-0.0115539,-0.0604668,0.0569141
990964834,0.00110024,-0.00935915,-0.000787963,0.99648,-0.0115549,-0.0604624,0.0569142
990967864,-0.00311913,-0.0177281,-0.00568144,0.996479,-0.0115553,-0.0604659,0.0569139
990971923,0.00302538,-0.00885894,0.00262844,0.99648,-0.0115556,-0.0604627,0.056915
990974763,0.000228601,-0.0130852,-0.00478176,0.99648,-0.0115536,-0.0604648,0.0569151
990978805,-0.00644144,-0.0169599,-0.00616419,0.996479,-0.0115579,-0.0604656,0.0569158
990981836,-0.000426427,-0.00870962,-0.00577245,0.996479,-0.0115592,-0.0604657,0.0569181
990985768,-0.00206388,-0.0121487,-0.00171078,0.996479,-0.0115654,-0.0604635,0.0569215
990988772,-0.000981797,-0.0161285,-0.00236985,0.996479,-0.0115658,-0.0604675,0.0569213
990992813,-0.00036249,-0.0183307,-0.00231255,0.996479,-0.0115653,-0.0604721,0.0569196
990996707,-0.00282429,-0.0122993,-0.00405086,0.996478,-0.0115691,-0.0604758,0.0569162
990999787,-0.00073438,-0.0121358,-0.00146465,0.996479,-0.0115701,-0.0604732,0.0569162
991002776,-0.00175219,-0.0115656,-0.00294819,0.996478,-0.0115723,-0.0604752,0.0569171
991006806,-0.00164324,-0.0139474,0.000627394,0.996479,-0.0115713,-0.0604726,0.0569169
991008942,-0.00504844,-0.0121672,-0.00489389,0.996479,-0.0115749,-0.0604726,0.0569167
991013867,-0.00200786,-0.0119912,-0.00332005,0.996479,-0.0115757,-0.0604686,0.0569152
991016777,0.00243144,-0.00925518,-0.00281451,0.996479,-0.0115763,-0.0604644,0.0569149
991020750,-0.00227374,-0.0170129,-0.00313422,0.996479,-0.0115728,-0.0604687,0.0569151
991023863,-0.00107155,-0.0092271,-0.00224926,0.996479,-0.0115766,-0.0604656,0.0569133
991026820,0.00239391,-0.0117759,-0.0048607,0.99648,-0.0115729,-0.0604602,0.0569133
991030828,-0.00201609,-0.0111136,0.000330621,0.99648,-0.0115671,-0.0604583,0.0569134
991034892,-0.00217473,-0.0136002,-0.00220489,0.996479,-0.0115722,-0.0604634,0.0569129
991037814,-0.00243199,-0.0141355,-0.00150704,0.996481,-0.0115751,-0.0604621,0.0568912
991041829,-0.000820253,-0.0122432,0.00162236,0.996481,-0.0115763,-0.0604639,0.0568895
991044817,-0.00140577,-0.0086302,-0.00700712,0.996481,-0.0115794,-0.0604591,0.0568894
991047792,-0.00014556,-0.012471,-0.00470573,0.996481,-0.0115785,-0.0604559,0.0568893
991051774,-0.00189467,-0.00844523,-0.00801506,0.996481,-0.011576,-0.060451,0.0568893
991055962,0.00202575,-0.0144533,-0.00453997,0.996482,-0.0115752,-0.0604489,0.0568878
991058955,-0.00126903,-0.0112173,-0.00366882,0.996482,-0.0115773,-0.0604507,0.0568876
991062853,0.000735331,-0.0114752,-0.0051776,0.996482,-0.0115762,-0.0604516,0.0568873
991065811,-0.00116353,-0.0155798,-0.00266955,0.996481,-0.011574,-0.0604528,0.0568884
991069819,-0.0026133,-0.00955168,0.00308619,0.996482,-0.0115757,-0.0604484,0.0568884
991072834,-0.00447697,-0.0155423,-0.00650463,0.996482,-0.0115799,-0.0604499,0.0568878
991076802,-0.000102913,-0.0112914,-0.00410278,0.996482,-0.0115776,-0.0604443,0.0568878
991079750,-0.00359797,-0.0125377,0.000303174,0.996482,-0.0115824,-0.0604482,0.0568875
991083874,0.00448368,-0.0071094,0.00132477,0.996482,-0.0115768,-0.060438,0.056889
991086819,-0.00441645,-0.0124265,-0.0036106,0.996483,-0.0115827,-0.0604338,0.0568871
991089828,0.000449605,-0.0121283,-0.00255255,0.996482,-0.0115833,-0.0604356,0.056887
991093833,0.00155998,-0.0153874,-0.00172905,0.996482,-0.0115835,-0.0604388,0.0568839
991096861,0.00142266,-0.0110093,-0.00226635,0.996483,-0.0115789,-0.0604342,0.056884
991098845,-0.00280995,-0.0137782,-0.00334962,0.996483,-0.0115807,-0.0604344,0.0568839
991103849,-0.00446083,-0.0145822,-0.00125415,0.996482,-0.0115887,-0.0604384,0.0568844
991106793,-0.00066064,-0.0143868,0.00195834,0.996482,-0.011596,-0.0604402,0.056885
991111796,-0.00594487,-0.0141218,-0.00614868,0.996482,-0.0115909,-0.0604395,0.0568851
991114820,0.00329535,-0.0120968,-0.0018523,0.996482,-0.011589,-0.0604396,0.0568852
