timestamp,ref_timestamp,ref_lat,ref_lon,surface_bottom_timestamp,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,estimator_type,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
990324508,0,0.0,0.0,0,-5.35956,1.04776,1.43375,0.0,0.0,0.0,-0.017513,0.00701505,-0.00572477,0.0,0.0,0.0,0.0,0.0,0.0,0.115961,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990329569,0,0.0,0.0,0,-5.35965,1.0478,1.43372,0.0,0.0,0.0,-0.0180389,0.00723854,-0.00587581,0.0,0.0,0.0,0.0,0.0,0.0,0.115968,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990334566,0,0.0,0.0,0,-5.35974,1.04784,1.43369,0.0,0.0,0.0,-0.0186306,0.00739331,-0.00588136,0.0,0.0,0.0,0.0,0.0,0.0,0.115973,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990339877,0,0.0,0.0,0,-5.35984,1.04787,1.43366,0.0,0.0,0.0,-0.0191633,0.00748198,-0.0059656,0.0,0.0,0.0,0.0,0.0,0.0,0.115975,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990344532,0,0.0,0.0,0,-5.35994,1.04791,1.43363,0.0,0.0,0.0,-0.0196211,0.00768878,-0.00621651,0.0,0.0,0.0,0.0,0.0,0.0,0.115975,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990349577,0,0.0,0.0,0,-5.36004,1.04795,1.4336,0.0,0.0,0.0,-0.0201388,0.00789672,-0.00643446,0.0,0.0,0.0,0.0,0.0,0.0,0.115977,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990354529,0,0.0,0.0,0,-5.36014,1.04799,1.43357,0.0,0.0,0.0,-0.0207344,0.00809152,-0.00662262,0.0,0.0,0.0,0.0,0.0,0.0,0.115977,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990359581,0,0.0,0.0,0,-5.36025,1.04803,1.43353,0.0,0.0,0.0,-0.0212655,0.00827628,-0.00689499,0.0,0.0,0.0,0.0,0.0,0.0,0.115974,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990364528,0,0.0,0.0,0,-5.36036,1.04808,1.43349,0.0,0.0,0.0,-0.0217333,0.00856418,-0.00719115,0.0,0.0,0.0,0.0,0.0,0.0,0.115974,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990369768,0,0.0,0.0,0,-5.36047,1.04812,1.43346,0.0,0.0,0.0,-0.0222681,0.00882678,-0.00733902,0.0,0.0,0.0,0.0,0.0,0.0,0.115973,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990374781,0,0.0,0.0,0,-5.36058,1.04817,1.43342,0.0,0.0,0.0,-0.0228624,0.00894913,-0.00753725,0.0,0.0,0.0,0.0,0.0,0.0,0.115967,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990379666,0,0.0,0.0,0,-5.3607,1.04821,1.43338,0.0,0.0,0.0,-0.0234938,0.0090526,-0.00767482,0.0,0.0,0.0,0.0,0.0,0.0,0.115962,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990384624,0,0.0,0.0,0,-5.36082,1.04826,1.43334,0.0,0.0,0.0,-0.0241227,0.00922895,-0.00779459,0.0,0.0,0.0,0.0,0.0,0.0,0.115961,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990394753,0,0.0,0.0,0,-5.36107,1.04835,1.43326,0.0,0.0,0.0,-0.0252702,0.00990046,-0.00797748,0.0,0.0,0.0,0.0,0.0,0.0,0.115952,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990404669,0,0.0,0.0,0,-5.36133,1.04846,1.43318,0.0,0.0,0.0,-0.0262193,0.0105792,-0.00825994,0.0,0.0,0.0,0.0,0.0,0.0,0.115959,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990409956,0,0.0,0.0,0,-5.35984,1.0479,1.43486,0.0,0.0,0.0,-0.0168684,0.00789503,-0.0025699,0.0,0.0,0.0,0.0,0.0,0.0,0.115963,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
